Unnamed: 0,LOS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Crewchange,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Ark,Crew Change,Unnamed: 1
Fakt.,Løpe-nummer,Dato,Order-Nr.,"TechLog
Nr.",Ship,Sign,KUN FRA LISTE              Sted/Type,,Landinger MONG                  STURE                    KÅRSTØ   ,LOS,KUN RIGG - Rotor Rønnings Tid (min),PAX,SHIP LANDING,Skriv 1 vis tåke/ bomtur. SHIP,Landinger ENFJ,HOIST,"Crew
Change",Total flight distance nm,Heli deck idle time,Total repositioning (to other airports) Flight time,Kommentar:,2017,,
ja,120,2017-08-01 00:00:00,,,LYRIC MAGNOLIA,ONS,Mongstad,,,1,,,,,1,1,,,,,,2017,,
ja,121,2017-08-01 00:00:00,,,ARCTIC PRINCESS,GUN,Melkøya,,,1,,,,,,1,,,,,,2017,,
ja,122,2017-08-02 00:00:00,,,MOSCOWSKY PROSPECT,LUN,Kårstø,,,1,,,,,1,1,,,,,,2017,,
ja,123,2017-08-02 00:00:00,,,SCF BALTICA,LUN,Nyhamna,,,1,,,,,,1,,,,,,2017,,
ja,124,2017-08-03 00:00:00,,,SILVERWAY,ONS,Mongstad,,,1,,,,,1,1,,,,,,2017,,
ja,125,2017-08-03 00:00:00,,,MATTERHORN SPIRIT,LUN,Fedje,,,1,,,,,1,1,,,,,,2017,,
ja,126,2017-08-04 00:00:00,,,MATTERHORN SPIRIT,LUN,Sture,,,1,,,,,1,1,,,,,,2017,,
ja,127,2017-08-04 00:00:00,,,MINERVA ATLANTICA,ONS,Mongstad,,,1,,,,,2,1,,,,,,2017,,
ja,128,2017-08-05 00:00:00,,,SILVERWAY,ONS,Mongstad,,,1,,,,,,1,,,,,BÅT TIL BÅT,2017,,
ja,129,2017-08-05 00:00:00,,,SN OLIVIA,ONS,Mongstad,,,1,,,,,,1,,,,,BÅT TIL BÅT,2017,,
ja,130,2017-08-05 00:00:00,,,AFFINITY V,LUN,Sture,,,1,,,,,1,1,,,,,,2017,,
ja,131,2017-08-06 00:00:00,,,MINERVA ATLANTICA,LUN,Sture,,,1,,,,,1,1,,,,,,2017,,
ja,132,2017-08-06 00:00:00,,,OSLO TS,LUN,Mongstad,,,1,,,,,1,1,,,,,,2017,,
ja,133,2017-08-06 00:00:00,,,ARCTIC AURORA,LOO,Melkøya,,,1,,,,,,1,,,,,,2017,,
ja,134,2017-08-06 00:00:00,,,KRASNODAR,ONS,Mongstad,,,1,,,,,,1,,,,,,2017,,
ja,135,2017-08-06 00:00:00,,,SN OLIVIA,ONS,Mongstad,,,1,,,,,,1,,,,,,2017,,
ja,136,2017-08-06 00:00:00,,,MOSCOWSKY PROSPECT,LUN,Kårstø,,,1,,,,,,1,,,,,LANG TUR PGA PROBLEMER MED OXH,2017,,
ja,137,2017-08-06 00:00:00,,,AFFINITY V,ONS,Sture,,,1,,,,,1,1,,,,,,2017,,
ja,138,2017-08-07 00:00:00,,,PTI RHINE,LUN,Mongstad,,,1,,,,,1,1,,,,,,2017,,
ja,139,2017-08-07 00:00:00,,,KRASNODAR,LUN,Sture,,,1,,,,,1,1,,,,,,2017,,
ja,140,2017-08-08 00:00:00,,,ARCTIC AURORA,GUN,Melkøya,,,1,,,,,,1,,,,,,2017,,
ja,141,2017-08-08 00:00:00,,,NANSEN SPIRIT,MOH,Mongstad,,,1,,,1,,1,,,,,,,2017,,
ja,142,2017-08-08 00:00:00,,,ADVANTAGE ARROW,MOH,Sture,,,1,,,,,1,1,,,,,,2017,,
ja,143,2017-08-09 00:00:00,,,PTI RHINE,LUN,Mongstad,,,1,,,,,,1,,,,,BÅT TIL BÅT,2017,,
ja,144,2017-08-09 00:00:00,,,STI MADISON,LUN,Mongstad,,,1,,,,,,1,,,,,BÅT TIL BÅT,2017,,
ja,145,2017-08-09 00:00:00,,,SEAQUEEN,AMU,Mongstad,,,1,,,1,,1,,,,,,,2017,,
ja,146,2017-08-09 00:00:00,,,EAGLE BERGEN,AMU,Crew Change,,,,,8,1,,,,1,66,11,,Total airborn time 00:38 4 pax out 4 pax in,2017,,
ja,147,2017-08-09 00:00:00,,,ADVANTAGE ARROW,AMU,Sture,,,1,,,,,1,1,,,,,,2017,,
ja,148,2017-08-09 00:00:00,,,ISLAND INNOVATOR,AMU,Los øvrig,,,1,,,1,,,,,,,,"Rigglanding.  Hadde også med en liten pakke fra agenten. 20x40x50 cm 14 kg, 2 Losene ble med til Flesland",2017,,
ja,149,2017-08-10 00:00:00,,,STENA ALEXITA,CTJ,Mongstad,,,1,,,1,,2,,,,,,,2017,,
ja,150,2017-08-10 00:00:00,,,NANSEN SPIRIT,CTJ,Mongstad,,,1,,,1,,2,,,,,,2 LANDINGER Fedje pga snag,2017,,
ja,151,2017-08-10 00:00:00,,,CLIPPER SUN,CTJ,Kårstø,,,1,,,,,,1,,,,,,2017,,
ja,152,2017-08-10 00:00:00,,,SEAQUEEN,CTJ,Mongstad,,,1,,,1,,1,,,,,,,2017,,
ja,153,2017-08-10 00:00:00,,,ADVANTAGE AVENUE,CTJ,Sture,,,1,,,,,1,1,,,,,,2017,,
ja,154,2017-08-11 00:00:00,,,ARCTIC VOYAGER,ODO,Melkøya,,,1,,,,,,1,,,,,,2017,,
ja,155,2017-08-11 00:00:00,,,ADVENTAGE AVENU,AMU,Sture,,,1,,,,,,1,,,,,BÅT BÅT FLYTTES TIL PARTHENON TS,2017,,
ja,156,2017-08-11 00:00:00,,,PARTHENON TS,AMU,Sture,,,1,,,,,,1,,,,,FRA ADVENTAGE AVENU,2017,,
ja,157,2017-08-11 00:00:00,,,STENA ALEXITA,AMU,Mongstad,,,1,,,1,,,,,,,,BÅT BÅT FLYTTES TIL STENA ALEXITA,2017,,
ja,158,2017-08-11 00:00:00,,,MINERVA LIBRA,AMU,Mongstad,,,1,,,,,,1,,,,,FRA STENA ALEXITA,2017,,
ja,159,2017-08-11 00:00:00,,,CLIPPER SUN,AMU,Kårstø,,,1,,,,,,1,,,,,,2017,,
ja,160,2017-08-12 00:00:00,,,OSLO TS,AMU,Kårstø,,,1,,,,,,1,,,,,Hentet los på Helganes,2017,,
ja,161,2017-08-12 00:00:00,,,MATTERHORN SPIRIT,CTJ,Sture,,,1,,,,,1,1,,,,,,2017,,
ja,162,2017-08-12 00:00:00,,,STI MADISON,CTJ,Mongstad,,,1,,,,,,1,,,,,162 OG 163 FLYDD I FORLENGELSE AV HVERANDRE,2017,,
ja,163,2017-08-12 00:00:00,,,CLIPPER JUPITER,CTJ,Mongstad,,,1,,,,,,1,,,,,,2017,,
ja,164,2017-08-12 00:00:00,,,MINERVA LIBRA,AMU,Sture,,,1,,,,,1,1,,,,,,2017,,
